sentence,label
Herkes övgü alır şey mühendislikte kazalar çok sık olur değil mi anneciğim kaçarak tüm dalları yan yana dizdi ve,0
Hayvanlar bile çalışıyor,0
Yüzük,0
cahil alt kültür adam,0
Ya şu an treni ben kullanıyorum arkadaşlar görüyor musunuz size bir akşama doğru olmuş hava tam böyle güneş batarken şehir turu attıracağım evden her tarafını size tanıtayım arkadaşlar belki komşu görürüm biraz ezerim de biliyor musunuz namussuzu istemiyorum ya ay,0
Baba tabii fore,0
yüzden değerli haklısın,0
Aa mini mini bir kuş gördüm sanki,0
Ben sıkıldım,0
Müzik buz bombası hepsini dondurma değil fikir,0
Müzik nu do,0
Say,0
Perin saklı ona gününü göstermeliyiz,0
Zeynep,0
Hey,0
Gerçekten mi,0
oh bir an görevimizi başaramadık sandım,0
Tayfa raan,0
Sanki sen yeterince kadar dinlenmemiş gibisin ama,0
Bu yemekler herkes için,0
Lehistan,0
Yemin ederim ben bir şey yapmadım o mektubu bana siz yazmışsınız,0
Umarım oyunu da kazanırız pek bir sorunla karşılaşmayız inşallah şöyle yapalım güzel e kötü bir başlangıç yaptık açıkçası ama şu chestler açınca düzeleceğini düşünüyorum ben,0
meğer su kadar önemliymiş işte böyle çocuklar babamızın,0
Dede,0
Türkçe kaç tane yumurta var kümeste,0
Ahmet paşa dır,0
Baba parmak,0
Yusuf yapabilirsin çok komik kuşlar nasıl uçabiliyor acaba,0
Dede,0
Facebooka falan hiç giremiyorum,0
Evet ben de tam onu söylüyordum çilekleri doldururken,0
Ayşe,0
Kunduz,0
Sen kesin,0
Merhaba diyelim,0
Bunu çok merak ediyor e,0
Başkalarına yapılan hukuk dışı ahlak dışı olaylara sessiz kalıp görmezden geldiniz size yapılınca ortalığı ayağa kaldırdınız,0
Hadi bay pinu,0
Mert abim geldi inanmıyorsan ona sor ne oluyor burada,0
Yalnız her defasında yemleri bahçenin farklı kısımlarına dök ki bitkiler zarar görmesin Çünkü azı karar çoğu zarar haş duvar sileceğim diye çok korktum,0
Niye durdun nefesim kesildi ama bilet gelmedi İstersen bir de ben deneyeyim olmaz,0
Mert abimle arkadaşlarımızı korumak için bunu yapmak oyundayım egec,0
Maşallah benim çiçeklerime alın bakalım Çok iyi iş çıkardınız dostlarım şimdi biraz da bu kısma,0
Kesinlikle öyle,0
Sonra Şekerci ardından baharatçıya gittim de bir de unutmadan son olarak bir tezgah dalgıç ile kaldı bu sonra saraya geldiğinde yüzünü olmadığını fark ettim,0
Mert göreceksiniz gelin,0
Tabii ki de şaka yapıyorum yani 1,0
Hayırdır,0
dolanıyoruz çocuklar buradayken ben evde,0
Müzik bu,0
Payı yapalım hop yakaladım tuttum seni sobeledim seni,0
Mert abi,0
Ama,0
Sapığın teki o adama donmuş dünyayı buraya bırakıyoruz,0
Tay bilim fuarı hava bozacak gibi,0
Tabi bir türlü yaşamıyorsun,0
Hey sen de kimsin,0
Neye kızıyorsun,0
batan sarnıcının ton su depolama kapasitesi var,0
Merhaba,0
Evet ben de acıktım,0
Hey inci gibi dişlerim,0
Z,0
Gerçekten mi,0
Türkçe kaç tane teker var otobüste sen kaçtın tekerlek hatırlıyor musun,0
Ben bunu,0
Evet ama kaşla göz arasında bütün kirazları toplayıp kaçtı,0
Müzik,0
Müzik bak iki kulak iki yanak,0
Ailesi size güzel bir örnek oldu küçücük boylarıyla neler yapıyorlar böyle bak ya öyle mi yapılır ne yorsun,0
Haim be kardeşim neyse Şunların armorları alalım şurada,0
Müzik sen hiç üzülme,0
Evet az da olsa düzeldi şu tian ne çıkacağı çok önemli,0
Müzik İşte bu kadar başardık sonunda bileti aldık bekle bilim fuari biz geliyoruz rafadan rafadan rafadan,0
Ama galibaaaaa bütün bu olanlara dayanamam ama hazırımm,0
Müzik,0
Sıkı tutun evlat,0
E kalın mum işte,0
Tayfa hepsi burada bir arada rafadan,0
Sen hiç gördün mü üç dudaklı bir adam,0
Müzik işte annem bunları görünce çok kızacak,0
Mert abi anlayamadın arkadaşlar öğretmen,0
ben baklava yufkası açan insanım vazo yapamayacağım bakın şeyi tek tek anlattı bulamazsınız,0
Mert,0
Benim için bitmiştir,0
Gitme gitme lan az kaldı gidiyordu beni uğraştırıyordu ha bu dünya çatıda bir tane hafız var,0
Tayfa,0
Hatta birçoğu aralarında görev dağılımı yapıp birbirine yardım ediyor Çünkü onlar da bizim gibi hayatın böyle çok daha kolay olduğunu bilerek yaratıldılar,0
Ev yaparken dalları iç içe geçirmeye Özen gösterdi bu sayede sağlam bir ev yapabiliyorlar işte çalışmak çabalamak ve bir arada uğraş vermenin güzelliği de burada her canlı birbiriyle yardımlaşmalar zannediyordum ama bırakın insanları,0
Yiyecek var,0
Ne,0
Müzik,0
Benim gözlerimden bak dünyaya,0
efendim,0
Evet şu,0
H kuşların kirinin bitkilere ne kadar faydalı olduğunu ona,0
Müzik bak İki,0
Nerdesin,0
Say İspanyolca ona kadar İşte bu kadar gel sayalım gel sayalım,0
Sadece pyi çıldırtmak için seninle çıktım bir daha benimle konuşma,0
müzik çocuklar geçen gün topladığımız,0
Yakar top,0
Uçur beni rüzgar,0
Egecan,0
Spiderman değil mi ya,0
A neden bağırıyorsun,0
Annem bahçeyi böyle,0
E şey,0
Games,0
Ama bu bir bebek ejderha donduğunu çok sevdi çok minik yaramazlar onu yemeği planlıyor dondum tatlı ejderhaya çok iyi bakıyor tertemiz yapacak onu,0
Cümbür,0
Galata karakolundan zaptiye,0
Hayri bileti,0
Kamil gelemedi,0
Sen hiç gördün mü üç dudaklı bir adam olur mu hiç üç dudak dön de aynaya bak,0
Müzik,0
Baba parmak neredesin,0
Ben evin sade olmasını seviyorum  __  koyduğumun çocuğu beni gördü Çık çık çık çık çık çık çık çık çık çık çık çık çık her ne biçim tırmanıyor  __  koyayım sporcudur lan bu bunu fazla küçümsüyorum ha,0
Bu da değil,0
Ver bir bakayım bti çekme yırtacak sın bileti bırakmazsan yırtılır tabii,0
Sen hiç gördün mü üç yanaklı bir,0
Tubea falan bakalım bu videoyu da nasıl upload edeceğim orası da tabii ayrı bir mesele,0
Müzik hadi,0
Onu anlatacak bak,0
Siz de mi çok beğendiniz,0
Kaşıkçı en güvenliğini ki,0
Bana bakın saten sana bakıyoruz,0
Müzik,0
Yakala ay kaçtı,0
Bence hemen gidip çocuk kıyalım,0
Burası,0
Evet misiniz,0
Doktor,0
Müzik un,0
Melis in yumurta çatlıyor tane,0
Komşumun çatısındayım adamın kurdu mekanizmaya,0
Ah,0
En azından,0
You,0
Hayır kaşıklık gayet toplumda kocaman neden hiç yüzükle ilgili sorular sormuyorsun cevabını alacaksın,0
H,0
Hey,0
Ha işte böyle burada herkese yetecek kadar yemek,0
annem kızdı üzülme artık olan oldu,0
Yusuf bana yardım edecek misin,0
Haydi son balonlar baloncu,0
Bu yöntem de olmadı,0
Müzik,0
Bani ne demek bina ettiren demek bu camiyi baş mimardan talep eden ve bütün yapım masraflarını karşılayan kişi Şemsi,0
Mert abi,0
Haydi şimdi,0
Tamam bozmayın çekebilirsin hayr abi,0
Kendinize iyi bakın görüşmek üzere,0
Siz gününüzü göreceksiniz hepinizi mahvedeceğim,0
Pırpır ederken andı ellerim bak boş kaldı şaşkın ördek kuşu,0
Evet evladım,0
Hepsi farklı huyda bizim çocukların adı rafadan,0
Vazgeçtim inan kendimden çoktannn ,0
Hayatta kalabilmek için para uğruna insanlar nerelerde canlarını hic sayarak çalışıyor Allah yardımcıları olsun,0
Dur bakalım tombalak,0
Akın bilet buldum,0
Müzik,0
Karn aç küçük şirin burada hepimize yetecek kadar,0
Müzik kerata annem görmeden burayı temizlemem lazım kelebi kelebi,0
Sultanım ancak önce,0
Team üçlü timse,0
Pur atılmış heryeri yanına çarpı işareti koyduk nerede peki bu cücük birazdan öğreneceksin,0
Buyurun,0
Bak yine yaptın Çu,0
Pırpır derken canlandı ellerim bak boş kaldı nerede yine bu o,0
Hayır kabul etmiyorum,0
Yağmur bulutları geldi,0
Safiye olarak size bir görev vereceğim bu boru,0
Müzik,0
Nedir o,0
Mert abi,0
Evet 50 lira,0
L abi ne yapıyorsunuz ya dedim hayatımda dedim ilk defa bu kadar kötü ikili,0
Enjoy hackerım,0
Mektubun altına,0
Bir bak istersen şu an,0
Tamam,0
Sen 70 yaşına gelmişsin her şeyi de fark ediyor,0
Yani bu oyunu bırakırım,0
Alkışla kırmızıyı moru moru kırmızıyı biliyorsan hep,0
Hakkınızı helal edin,0
Soralım mı,0
Uçan balonlarım var baloncu,0
Evet arkadaşlar bu dini ona yarıyor çatıda bir tane havuz var,0
Hey olur mu hiç üç dudak dön de aynaya,0
Nasıl yani bundan sonra yemleri çiçeklerin ekinlerin dibine bırak hem kuşları hem toprağı beslemiş olursun Üstelik annen ol,0
Kiraz var değil mi bari,0
Helal olsun şekercide tamam bu pilin çamurlu köşelerim şey unutun,0
Hadi o zaman yakay top oynayalım al kim yakay top oynamak ister ben ben ben ben ben ben ben,0
Bilakis rüzgarlar sayesinde uçarlar ancak hava akımlarının çakıştığı noktalarda rüzgardan istifade edemezler ve çok yorulurlar yazık onlara,0
T,0
Evet,0
Müzik adam olur mu hiç üç yanak dön de aynaya bak,0
Alkışla yeşili maviyi maviyi yeşili biliyorsan hep,0
Bu da akşam yemeğiniz yiyorlar abi seninle tanıştıklarını memnun olmuşlar demek ki,0
aybek,0
Zeynep le şikayet ediyoruz ama düşününce çok şey öğrendiğimizi fark ettim,0
Mektubum merdi abimin sırasına koy,0
Hadi,0
Abim bugün,0
Hey olur mu hiç üç dudak dön de aynaya,0
Hayde Şimdi sen de,0
Allah depoyu bitirecek yine,0
Neyi,0
Mustafa beni bekle,0
Hatırladınız bir şey olabilir mi,0
Biraz önceki gibi derin bir nefes çek,0
Hey o nereye geldiler böyle böyle kocaman bir ev,0
Bilmem sen mi acılı,0
Müzik galiba,0
Evet düzelmedi bu ttan böyle bir şeyin çıkması,0
Böylelikle,0
Az önce dere kenarında çok güzel bir şey gördüm,0
Bu çok güzel bir haber ve kalori o abone ol abone ol abone ol,0
Evet hareket etmemiş,0
Egecan i,0
Elim İki,0
V5 hala paylaşacak mısın,0
Video atamadım kusura bakmayın yani benim elimde olan bir şey değildi galiba tüm,0
R quat bu kaçtı unuttum,0
Müzik kadar,0
Kamil abian abiler,0
Burada,0
Ellerime çik çik çik çik öpsün diye,0
Almanya,0
Nasıl alacağız şimdi ah,0
Her,0
Herkes bilir onları sağa sola kosala kesişiyor,0
Hayri,0
PK ne yaptın bize ne yaptın bize çok severiz donmuş hemen buradaki aleti alalım lan,0
Bu iş burada bitmedi,0
You,0
Sana hesap mı vereceğiz hiç hiçbir şey konuşmuyorduk,0
Akın,0
Hepimiz için,0
Hey gözlerimde,0
Durmazlar,0
Türkçe ona kadar İşte bu kadar,0
Akın İstanbul da yağmur yağacak diyorlar doğru mu bu hangi kanal ne zaman yayınlanacak anne baba,0
Müzik,0
Her insanda bir burun,0
Ne yaptım dedin,0
Türkçe dükkan isimleri var burada,0
Dönde,0
Müzik var ormanın,0
Hadi hiç başına,0
Ben de ben de inat edeceğim kaçacağım,0
Seni hemen,0
Ne yaptığınızı biliyorum,0
Bu değil,0
Kolay mı sandınız,0
Games oynuyoruz yani burası kamı,0
Müzik,0
Baba,0
Ahlak bekçileri size ne,0
Dün,0
A bu kuş seni sevdil mini mini bir kuş uçmuştu omuzuma konmuştu,0
Tabelada,0
Şiirler yazmak izleyip kırmızı gülü,0
Ed derken canlandı ellerim bak boş kaldı ayağına kondu,0
Pırpır ederken canlandı ellerim bak boş kaldı bu kuş yerinde duramıyor,0
Grup olmak istiyorum,0
Yaş kaç olursa olsunher sözünsesinkalemin yüreğime dokunur,0
Efendiler ancak elinizde yüzük varsa çıkarın kumaşların yırtılmasını istemem,0
Bugünüm yarınım bi yanım karambolde,0
Müzik getirdik y,0
He anladım,0
Egecan,0
Müzik,0
Sen hiç gördün mü üç yanaklı bir adam,0
Hiç,0
Mert benim yiyeceklerime neden gelmedi ve sen,0
Müzik,0
Ah dinozor kendini köpek sanıyor,0
Hey,0
Sanki bugün benimle ilgilenmiyorsun,0
Evet onun adı yazıyordu,0
Rica ederim sultanım görevimiz ama çileklerde karardı,0
Hey inci gibi dişlerim,0
Baba birim dokunsun istedim kunduzlar,0
Sen bana dağılan kaşık çık bakalım sonra da neresi var şeker çocuk canım ağabey ama bu sefer o bu elbise çıktı saklıdır satın almadan biliyor musun,0
Burnumun ucuna konmuştu,0
Hadi,0
Ben de 60 aldım,0
Gerçekten mi,0
Türklerde,0
müzik düşünmüşsün i,0
Abin nerede,0
Ya da gidip kendiniz alın,0
Türk değiller galiba abi çıkartmam lazım da hangi birle uğraşayım ben evet biri çıktı abi ne yapalım biz şuraya atlayalım,0
kısa yoldan gidip bir an önce geri dönmeliyiz hadi,0
Müzik İspanyolca kaç tane portakal var sepette,0
müzik,0
Aha dişim değil mi,0
Peki ama yüzüm nerede a,0
Games arkadaşlar,0
Unuttun mu sussana egec,0
Yarın beraber yemler kuşları olur mu kardeşim neden bana bırakmadın,0
Mert abi biz senin iyiliğin için yapmıştık,0
Bir de çenem var,0
Ben de sizden bağlanıyorum yavaşlatıyorsun interneti oyun oynayamıyorum bak,0
Normalde önce eldiveni girme yüzünü eldiven üstüne takarım Çünkü,0
Bu tarz şeyler sanki final konuşması oldu bu konuşmayı gelecek bölüm yaparım lise abone olmayı unutmayın,0
Annen,0
Bu mükemmel bir fikir çocuklar geldiğimizden beri çok çalıştık,0
Müzik,0
Evet,0
Bir de ağız var,0
Ah işte yüzü,0
Az önce benim gördüklerimi sen de gördün mü,0
Duygu mu,0
Sana ne be,0
Neyi boyuyorsun öyle,0
Her zamanki gibi gülüyor,0
Sen hiç gördün mü üç dudaklı bir adam olur mu hiç üç dudak dön de aynaya bak,0
Mustafa,0
Sokaklar etrafta tek çöp yok,0
Müzik,0
Tamamdır çok güzel şunu da atalım ik tane,0
Ben gidiyorum şimdi ben de geleyim mi brawl,0
Ben duydum,0
Biz dinledik duydun mu,0
Allah ın hikmeti işte,0
Alkışla moru biliyorsan,0
Kunduz suyun akışı azalsın diye bir baraj inşa ediyor,0
Yanlışlıkla yırtığım resmini buldun,0
Evet müziği durdurdum arkadaşlar o neydi öyle ya Şurada acayip bir ses geliyor beni rahatsız ediyor,0
Mustafa yüzümü bulabilecek misiniz inşallah,0
Ah asyan ya n,0
Bir de çenem var,0
Alkışla sarıyı pembeyi pembeyi sarıyı biliyor hep,0
Burayı da çıtla kapatmış,0
Sen de,0
H,0
Evet bru,0
Müzik bitkilerin çoğu için en etkili gübrelerden biridir,0
Mini mini bir kuş uçmuştu omuzuma konmuştu aldım onu ellerime Ç çik çik çik ötsün diye,0
Görev başına,0
Hayriye başka bir yol bulmalıyız baloncu,0
Aha buldum,0
Kuşlar ükü uzaklaşsın diye vay Şem,0
Cümbür,0
Neyse ki,0
Kuşlar tarafından kirletilmesi istemediğini söylüyor,0
Say İspanyolca ona kadar İşte bu,0
Hayır tabii ki sağ üst,0
Cemre,0
Games yine başka bir şey popüler olur,0
Tabii biraz da korkutsa fena olmaz,0
Uçur beni rüzgâr toz taneleri gibi burdan uzağa doğru,0
Bir de ağız var,0
Sen öyle sen öğretmeni,0
Kaş parmaklarım var inci gibi dişlerim,0
Hani oğlum bu havuz donmamış lan,0
Ne oldu bilmiyorum ama beni gerçekten çok memnun etti onların sayesinde çatıya kavuşabildim ki hemen,0
Müzik,0
Hadi sıradaki dükkana gidiyoruz bu oyunu yükle,0
Kunduz ev yapıyor yavru kunduzlar İsa anne ve babalarına yardım etmek için odun taşıyorlar size doğrudan çalışmanın ve çabalamanın öneminden,0
Bu gerçekten iyi bir fikir İyi fikir de o kadar uzun boru mu var işte onu da beraber yapacağız mahalledeki bütün tüftüf borularını toplamamız lazım hepsini art arda bağlayacağız ve nefesimizle kağıdı çekeceğiz,0
Day evinizin sağlam olmasını istiyorsanız böyle çarpık çurpuk yapmayacaksınız,0
Bir de başım var gözlerimde,0
Müzik görünce,0
Haydi o zaman kahvaltı masasına,0
Bugünlük bitti,0
Hey olur mu hiç üç yanak,0
Sinan yapılarının içine,0
Kirpiğim saçlarım da var,0
Her insanda bir burun,0
Bir,0
Dede buraya kuş konmasını Şemsi,0
Peki yüzden kayıp olduğu anlaşıldıktan sonra kontrol etmek amacıyla bu yerleri kimseyi göndermediniz mi mi gönderdim,0
Var,0
Müzik yeşili biliyorsan,0
Müzik iyileştirir pasta olursam babamla,0
Tamam doğum yatağına gidiyor sıcacık yumuşacık yatağına girdi abone ol oh oh bye,0
Geldi,0
Baba eski bir,0
Tayfa hepsi burada bir arada rafan,0
Ne nereye gitti bilmiyorum ki ben bir de,0
Yok yok senin yöntemini denedik,0
Bugün birkez daha gurur duyuyorum Fenerbahçeli oldugum için,0
Survival gamesi e bitireceğim dermişim,0
Bu ilave onun gelişi sebebiyle binanın tepesine konulmuş,0
Gerçekten hem kirazları tutuyor hem de daldan dala atlıyor bence çok havalı,0
Parmağındaki yüzüğü görmedin mi,0
Haydi şimdi,0
Zeynep bebek doktor,0
Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan kişi,0
Tamam hoş geldiniz diye bel getirdiniz mi bana,0
Mert abimi izliyorum öğretmenim,0
Akın hazır o zaman nefesimize kuvvet arkadaşlar,0
Tube tutmak parmağından paketin içine düştü ve siz de onu fark etmediniz az kalsın kaşık cephede midesini indireceksin çok teşekkür ederim,0
Onlar sus hamuru değil akıllım kunduz kunduz anne,0
Yine birileri bazı değişimlerin tadını çıkarmakla meşgul,0
Kim bilir oradaki,0
Kardeş,0
Buradayım buradayım işte buradayım anne parmak anne parmak neredesin,0
Baba,0
Hay arkadaşlarının güvenini boşa çıkarmaz,0
Müzik atlatabilir çok mu acıktınız,0
Sen de meteoroloji uzmanı oldun başımıza doğru söylüyor,0
Sizler olduğunuz sürece,0
Mustafa ve,0
Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan insan,0
Evet gördüm İnanamıyorum ya,0
müzik anne mavi canavar yaşıyor,0
kasımda harbiden aşk başkaymış mal dediğim arkadaşlarım sevgilileriyle hikaye paylaşıyor şok surpriz,5
Senle sevgili numarası yaptım dedi kıza bak ne kolay terbiyesiz tam bir pislik sizin sayeniz,5
pijamalı evden çıkartıp markete gönderen hayat karşıma tarkanı çıkartacak ödüm koptu korku,0
Google yanlış tarifte yapıyorsun bu ateş bombası her şey karıştı dikkat et dostum albayı düşünüyorlar müzikler lütfen ona zarar vermeyeyim,0
Belki o da bizim gibi sahte bir hayalet tir,0
Allah kuyu ifti yadan saklasın hiç yalan söyleme ası her şeyi açıkladı,6
Korkma,0
demek sonunda sırayla köfte geldi iyi uçuşlar abi bilim insanı oldum helikopteri icadım kullanacağım,2
Merhaba hanımefendi İyi günler teşekkür ederim her yeri gezdik ama,3
Egecan kız kıyafeti giymiş,5
anlat karadeniz paylaşımlarından bıktım uzgun,0
Ama ne yapayım eleyi çok seviyorum,0
Hadi gelin siz de bisiklet alın ve şehir tur atmaya başlayın,0
agresifim kesin birini tekmeleyeceğim bugün,6
Aşk yaşanıyor,5
kahkaha,0
kolay silmem açıkcası sürpriz oldu surpriz,0
karadeniz kızından gelebilecek güzel hediye teşekkür ederim sibelim ol mutlu,0
buyrun özgürce hayalet gelecek buluşlar yakın abone ol,0
aşk öpüşmekten dudakları morarana seviyorum derken yanakları kızarana yakışır mutlu,5
Sana dedim bana bak kızım ben seninle daha demin ne konuştum acaba,6
Hadi içeri girip bir bakalım neler oluyor oldukça ilginç bir yer burası bu işte ineklerde geldi ha hayalet gibi ol iyi gelir o o o o abone ol bu,0
ona kendi nenesi öğretmiş dilden dile bize kadar gelmiş bilgi kaydı,2
gülmeyi seviyordum güldürene aşık oldum hamdolsun nokta mutlu,0
Hadi birer bisiklet alım ve geziniz böyle devam edin bu ne dersin beni,1
Böylece 10lu takımla oynarlar gördüğünüz gibi böyle gle yerler alttan yazı yazıp dururlar Şu an ne yapacağım şu an öleceğim arkadaşlar,6
Hey korkmayın elifler nasıl değerlendir onlar da içeri giriyor şimdi o da ne bu gerçek bir hayalet mi,6
Oha mektup mu Çok romantik meht abi ne yazmış okusana ne yazacak kesin aşk dolu bir mektup yazmıştır he kesin şimdi şu mektubu,5
Evet kıramıyoruz,0
Senin kafan yerinde mi sana,4
dolmuşa binerken kafamı vurdum dakika olduğumu şaşırdım surpriz,0
Oğlum bu kılık ne böyle aa,4
aaa eski sevgilim surpriz,5
Ya neyi merti abimle ask yaşadığınızı,5
aşırı sinirliyim dayak yemek isteyen anıta gelsin,4
Ah bunları amcaları İşte bu gerçekten ürkütücü,6
arkadaşları herkesi susuzluk derdinden,0
çoluğun çocuğun ezilsin senin,6
Hı  __  koyayım,4
görecek var hoş yaratmış yaradan aleme değer,3
İzleme be amına kodumun koyunu seni,4
Sen beni mahrum bırakma kendinden,5
Al bak şimdi cezasını verecek onun biraz sallabaş,6
Mert abim başka kızlarla gölemez sadece kardeşini sever ama o zaman neden a senin elini tutuyor da hayır o şaka yapıyordur sen anlamadın,5
Er kolarda hoşlanıyorum,5
müzik güzel çabuk olalım arkadaşlar oyal işte,0
havaya küfür edicem kış yaz aq karar ver,4
Afiyet olsun bu dondurma bahçede tenis oynuyorlar arabayı topa bütün gücüyle vuruyor ondan ne hale geldim böyle yaramazlar onları izlerken Çok eğleniyorlar olumsuz eğlence abone ol bu,1
Mert abim bu kıza aşık,5
hazırım diyorum dünden sizleri seviyorum mutlu,0
Ve saçmayan nedenini ben de bilmiyorum çok hata yaptın dostum ve öldün,6
neyi bilim insanı olduk,2
düşünüyorum,0
Evet biz de bu mahalleleri gezmek için geldik zaten hem de yeni arkadaşlar edinebilirsiniz burada,1
ben yanlış hatırlıyorum mühim değil canım olan bizim çocukların oyununa oldu olur,0
buna benzer sulama sistemleri zaten var bizim işte ic adınız hazır güzel görünüyor tam düşündüğümüz,0
risk almaktan korkmadım sevdiklerimi üzerim ödüm koptu korku,0
ıslatan araba sahibine sövüyorum,4
damanacadan su koyarken seferinde bardağı doldurma yeteneklerim harikayım mutlu,0
bende böyleyim sinirliyim agresifim,4
Korkma ufaklık arşı geçecek bu akünün ol tamam mı,0
Seyahatname mizde,0
Peki sen daha önce hiç geziye gittin mi,0
melek yüzlü adam an şeytana dönüştü korktum an korku,4
Minikler gerçek canavara yenildiler Şunların haline bir,0
Ben şu an iki tane bıraktım da diğer mankeni de alıp  __  koyayım,5
Sütaş kaşar ulan o araba kaçta geçiyordu 500 ile,5
Bence bu harika bir fikir ama şimdi dönmemiz gerek,3
Yazın çok korkuyorlar doğum tatlı uykusundan uyandı kahvaltı için bir şeyler hazırlayacak,0
Erdi işte koliler orada istediğiniz den başlayıp kitapları inceleyebilirsiniz gel de kitaplar için raflarda yer açmaya devam edip bakalım,2
Osmanlı eseri bulunmakta,2
Mert abimden uzak duracaksın kızım,6
Diğer taraftan git ama okuyordum ki oraya kalmışım ha başında kendime,0
niloya yeni icatlar yapıyorum,2
Normalde ideal vücut tipine derler 906090 derler,5
anneme sevgilim diyorum ciddi olamazsın diyor surpriz,5
müzik kocaman oyuncak abi,1
peki yapıyorsun hangi icat üzerine çalışıyorsun bir buluşun var,2
Öldürür bu,6
Albay Çok eğleniyorlar,1
insan nasıl bu kadar çirkinleşebilir,4
Asya parfümün de çok güzel kokuyorsun sen anlamazsın ezik babiş yurt dışından getirdi,4
kahkaha yaptın,0
çocuk saattir hayvan bakıyor sevgilisi geldi sarıldı şok surpriz,5
